year,country,ka_open,cblackmarketexchangerates,acreditmarketregulation,BankAssets_CBShare,FD,Portfolioequityassets,Currentaccountbalance,Capitalaccount,cbie_index,GDPconstant2015US
1982,Iceland,0.0,7.64,5.2138805,95.73,0.3167307,0.0,-260.8,0.0,0.38,7336000000.0
1983,Iceland,0.1629476,7.36,5.2192192,92.63,0.3310651,0.0,-56.2,0.0,0.38,7178000000.0
1984,Iceland,0.1629476,7.08,5.2245579,92.82,0.3398165,0.0,-132.6,0.0,0.38,7474000000.0
1985,Iceland,0.1629476,6.8,5.2298966,90.67,0.3317851,0.0,-114.9,0.0,0.38,7721000000.0
1986,Iceland,0.1629476,7.44,5.4391725,94.14,0.2953421,0.0,16.1,0.0,0.4135,8205000000.0
1987,Iceland,0.1629476,8.08,5.6484484,92.37,0.3103516,0.0,-188.3,0.0,0.4135,8906000000.0
1988,Iceland,0.1629476,8.72,5.8577244,90.49,0.3366086,0.0,-231.2,0.0,0.4135,8898000000.0
1989,Iceland,0.1629476,9.36,6.0670003,92.99,0.3761919,0.0,-102.0,0.0,0.4135,8921000000.0
1990,Iceland,0.1629476,10.0,6.2762763,96.81,0.3505175,0.0,-133.57914,-1.8293249,0.4135,9025000000.0
1991,Iceland,0.1629476,10.0,6.4489823,94.5,0.3684297,4.35722,-269.14489,-2.2075718,0.4135,9005000000.0
1992,Iceland,0.4172374,10.0,6.6216884,96.69,0.381577,8.7719298,-160.31746,-2.3427325,0.4135,8701000000.0
1993,Iceland,0.4172374,10.0,6.7943944,94.35,0.3682432,22.057001,36.855576,-1.3640838,0.4135,8816000000.0
1994,Iceland,0.7008403,10.0,6.9671004,89.62,0.4081344,47.58833,115.6251,-1.8722467,0.4135,9134000000.0
1995,Iceland,0.7008403,10.0,7.1398065,92.11,0.3962006,102.37621,12.613301,-4.4070175,0.4135,9144000000.0
1996,Iceland,0.7008403,10.0,7.3118452,95.78,0.4126789,182.2694,-181.59547,-2.3192023,0.4135,9562000000.0
1997,Iceland,0.7008403,10.0,7.4838839,96.51,0.4521051,397.28457,-177.57159,-2.5581598,0.4135,10110000000.0
1998,Iceland,0.7008403,10.0,7.6559226,98.68,0.4869116,830.04905,-610.40636,-2.3687655,0.4135,10860000000.0
1999,Iceland,0.7008403,10.0,7.8279613,99.14,0.5209914,1713.122,-637.37107,-2.2970452,0.4465,11300000000.0
2000,Iceland,0.7008403,10.0,8.0,99.31,0.5415388,2012.4439,-912.97317,-2.5639715,0.4465,11860000000.0
2001,Iceland,0.7008403,10.0,7.9896214,99.68,0.5819706,1754.4342,-378.67362,-3.1291783,0.658,12340000000.0
2002,Iceland,0.7008403,10.0,7.8109303,99.78,0.5859554,1848.4239,119.95175,-3.6879027,0.658,12400000000.0
