year,country,rpp_value,cgdp_value,cr_value,spr_value,rpp_value_trend,rpp_value_cycle,rpp_value_cycle_normalized,cgdp_value_trend,cgdp_value_cycle,cgdp_value_cycle_normalized,cr_value_trend,cr_value_cycle,cr_value_cycle_normalized,spr_value_trend,spr_value_cycle,spr_value_cycle_normalized,pca_weighted_mean,turning_point,value
2020,Korea,112.8528,200.6,164.61404,150.39067,104.24178845033211,8.611011549667893,-0.582090650083427,190.66727240636715,9.932727593632848,-1.0672297008353506,148.34042512635088,16.27361487364911,0.8669649995369078,115.07068850034804,35.31998149965196,-2.1337888404513663,-0.6268492819802163,,0.0
2021,Korea,126.0981,205.6,177.64753,136.09482,104.15764092401535,21.94045907598465,-1.4831400484140902,193.3336353402505,12.266364659749485,-1.3179691643364377,152.41055713695258,25.236972863047413,1.3444813789930063,116.93884610134504,19.155973898654963,-1.1572713687103824,-1.142331413535775,,0.0
2022,Korea,119.7681,209.0,179.68923,107.25852,104.07355916009747,15.69454083990253,-1.0609259350734581,196.0000699413385,12.999930058661505,-1.3967876735368603,156.4808300687319,23.208399931268104,1.2364106310666565,118.80690774929343,-11.548387749293425,0.6976736639822532,-0.8326772044074738,,0.0
2023,Korea,109.2947,206.5,177.13118,107.25852,103.98949065920294,5.305209340797063,-0.3586236920251643,198.66652412611617,7.8334758738838275,-0.8416739545686364,160.5511444506001,16.580035549399895,0.8832893382331946,120.6749358562022,-13.416415856202192,0.8105269939935018,-0.3000593953172128,,0.0
2007,Luxembourg,98.9683,334.4,92.817969,136.03126,83.4614108071504,15.506889192849599,1.0,335.0979660420157,-0.6979660420157074,1.0,86.72099763884583,6.096971361154175,1.0,90.66181835297176,45.36944164702824,1.0,1.0000000000000002,,0.0
2008,Luxembourg,99.1081,317.8,90.648559,62.856518,88.92878457880636,10.179315421193635,0.6564382639612484,339.57169867369225,-21.771698673692242,31.19306293299908,91.9572060687698,-1.308647068769801,-0.21463887416424904,87.38057185232522,-24.524053852325217,-0.5405412313230789,0.7297441643028175,,0.0
2009,Luxembourg,97.6366,363.2,100.74454,94.078659,94.3961971176853,3.2404028823146973,0.20896537287497247,344.0454295604536,19.154570439546376,-27.443413126845662,97.19342974112216,3.5511102588778414,0.5824384023686157,84.09943877528278,9.979220224717224,0.21995466248747358,0.1422078855606814,,0.0
2010,Luxembourg,100.3852,331.3,97.472992,90.723684,99.86371263929874,0.5214873607012578,0.03362939879274571,348.51910252813803,-17.219102528138023,24.67040155479443,102.42968062671365,-4.9566886267136425,-0.8129755468910923,80.81847123531392,9.905212764686084,0.21832344426338976,0.0929881636434111,,0.0
2011,Luxembourg,102.35,346.1,103.21944,63.896017,105.33140346016543,-2.9814034601654384,-0.19226315627122667,352.99270928900984,-6.892709289009815,9.875422118107426,107.66597957413062,-4.446539574130611,-0.7293030114034958,77.53774629393871,-13.64172929393871,-0.30068100463017844,-0.16810884319200595,,0.0
2012,Luxembourg,103.6163,361.1,109.46583,61.352536,110.79934320052253,-7.183043200522533,-0.46321625899246865,357.4661985075771,3.633801492422947,-5.206272617402165,112.90233504023793,-3.4365050402379325,-0.5636413288953668,74.25736577570909,-12.90482977570909,-0.28443880522286247,-0.47467867593081925,,0.0
2013,Luxembourg,106.621,364.5,114.71877,65.002677,116.2675980270985,-9.646598027098506,-0.6220846687642974,361.93950161657443,2.5604983834255677,-3.668514267586595,118.13874436555143,-3.4199743655514254,-0.5609300360735193,70.9773974008538,-5.974720400853798,-0.13169041063667467,-0.6293217092168649,,0.0
2014,Luxembourg,112.1168,382.2,126.43983,60.078749,121.73621614901386,-9.619416149013858,-0.6203317783072494,366.4125591332404,15.787440866759596,-22.61921055810378,123.37519629932439,3.064633700675614,0.502648531400592,67.69787662752714,-7.619127627527135,-0.1679352302107557,-0.6730783238214557,,0.0
2015,Luxembourg,115.3369,387.6,133.77446,45.478384,127.205221658894,-11.868321658894004,-0.7653579974226308,370.88531797605947,16.714682023940554,-23.94770091632108,128.61167104087417,5.162788959125834,0.8467792701175658,64.41882397708237,-18.94043997708237,-0.41747130424125456,-0.8208356205844564,,0.0
2016,Luxembourg,123.4053,376.9,134.21251,58.884503,132.67461460082404,-9.269314600824046,-0.5977546163867755,375.3577645321184,1.5422354678815964,-2.209613899592681,133.84815645110243,0.36435354889758287,0.059759760595071855,61.14024092305374,-2.2557379230537364,-0.04971932298843908,-0.6013201039460467,,0.0
2017,Luxembourg,126.5726,371.1,134.83182,61.872147,138.14436534808488,-11.571765348084881,-0.7462338322131529,379.8299269752089,-8.729926975208855,12.50766720684155,139.0846532978832,-4.2528332978832,-0.6975321099553476,57.86208158787553,4.010065412124469,0.08838692447049618,-0.7139736185662419,,0.0
2018,Luxembourg,135.4041,381.7,140.82927,46.80074,143.614421100671,-8.210321100670996,-0.5294628083404934,384.3018373347114,-2.6018373347114334,3.7277420076160097,144.32116325997444,-3.4918932599744323,-0.5727258753784611,54.584294454637245,-7.7835544546372475,-0.17155940589246993,-0.5190989389715864,,0.0
2019,Luxembourg,147.9439,395.3,148.43429,41.740639,149.08470012916342,-1.1408001291634093,-0.07356731030808197,388.7735058151891,6.526494184810929,-9.350733118709595,149.5576773840508,-1.123387384050801,-0.1842533476880463,51.306838031591894,-9.566199031591893,-0.21085115188360473,-0.09607074073865976,,0.0
2020,Luxembourg,171.7028,408.8,157.88681,44.275664,154.55510017834038,17.147699821659614,1.105811720739361,393.24493611661126,15.555063883388755,-22.28627604641931,154.7941779870537,3.0926320129462965,0.5072406986607285,48.02965136810632,-3.7539873681063227,-0.08274263979954036,1.048777306822331,,0.0
2021,Luxembourg,184.935,414.9,175.07672,59.374094,160.0255161409798,24.909483859020213,1.606349510158766,397.7161482551828,17.18385174481716,-24.619896542804078,160.0306445774561,15.046075422543908,2.467794997104208,44.75264959804977,14.621444401950228,0.32227516740682555,1.5429013043331807,peak,1.5429013043331807
2022,Luxembourg,183.9971,384.4,164.09189,51.376797,165.49588577910916,18.50121422089083,1.1930964354489584,402.18720113476854,-17.787201134768566,25.484336004943163,165.26706439531105,-1.1751743953110463,-0.19274723886657427,41.47573847032313,9.901058529676874,0.2182318796582635,1.2511850985723503,,0.0
2023,Luxembourg,152.4507,383.7,161.73654,51.376797,170.9662091284657,-18.51550912846568,-1.1940182778247612,406.65819661886275,-22.958196618862758,32.892999425244376,170.5034622958603,-8.766922295860297,-1.437914298190289,38.19886028743826,13.177936712561745,0.2904584282761372,-1.1113173507364897,,0.0
2005,Mexico,93.5916,23.0,74.117865,67.284922,89.75157939856793,3.840020601432073,1.0,25.05765304694089,-2.0576530469408887,1.0,81.65307008183538,-7.535205081835386,1.0,92.11994143719797,-24.83501943719797,1.0,1.0,,0.0
2006,Mexico,96.1317,24.4,84.536986,92.075581,92.17333421009548,3.9583657899045193,1.0308188941560135,26.084261014297205,-1.6842610142972063,0.8185349890746625,88.33917155721277,-3.8021855572127663,0.5045895255563038,92.63241460136672,-0.5568336013667192,0.02242130725022474,0.9684930361565959,,0.0
2007,Mexico,99.5035,27.0,97.198746,93.302351,94.59509862167451,4.908401378325493,1.2782226679968813,27.110863837520906,-0.11086383752090612,0.053878780820569974,95.02525419457743,2.1734918054225716,-0.2884449436767239,93.14482567798687,0.15752532201312874,-0.006342870896939457,1.013704857438315,,0.0
2008,Mexico,101.3082,28.6,105.29498,65.9023,97.01689212927101,4.291307870728986,1.1175220958784993,28.137452161826825,0.462547838173176,-0.22479389266370517,101.71128965045278,3.5836903495472114,-0.47559294148292974,93.65711118742581,-27.754811187425815,1.1175675242619125,0.8503129117955949,,0.0
2009,Mexico,100.1913,28.9,99.505782,96.382945,99.4387464998544,0.752553500145595,0.19597642259131173,29.164016355270228,-0.26401635527022904,0.12830946191960882,108.39725501509174,-8.891473015091748,1.1799908454417287,94.16920804386424,2.2137369561357616,-0.0891377178799393,0.1999322736139436,,0.0
2010,Mexico,100.3425,28.5,103.51192,109.68651,101.8607042286638,-1.518204228663805,-0.3953635634396377,30.19054794227596,-1.690547942275959,0.8215903768564362,115.08313633797312,-11.571216337973112,1.5356206250931468,94.68098377445496,15.00552622554504,-0.60420835439612,-0.14627106429399472,,0.0
2011,Mexico,102.2768,30.6,117.33413,103.93254,104.28280969232206,-2.006009692322067,-0.5223955547462319,31.21703778722798,-0.6170377872279786,0.2998745527800852,121.76889743989314,-4.434767439893136,0.588539713482216,95.19231144069305,8.740228559306956,-0.35193161742470047,-0.35352335573174803,,0.0
2012,Mexico,100.9679,30.6,121.93321,120.91587,106.70510347194144,-5.7372034719414415,-1.4940553886095937,32.243472528140394,-1.6434725281403928,0.7987121689848258,128.4544732136072,-6.521263213607199,0.8654393799217982,95.7031016178892,25.212768382110795,-1.015210334176225,-1.0380646235492714,,0.0
2013,Mexico,103.1217,33.7,132.78789,107.96489,109.12762113360999,-6.005921133609988,-1.56403357090589,33.26983726043284,0.4301627395671659,-0.20905503977295323,135.13978746495212,-2.351897464952117,0.31212122820939253,96.21328673192552,11.751603268074476,-0.4731867956774331,-1.273175533548487,,0.0
2014,Mexico,102.785,35.2,142.66418,104.33162,111.55038390040713,-8.76538390040713,-2.2826398111349255,34.29611297084364,0.9038870291563654,-0.43928058255504915,141.82474769660672,0.8394323033932665,-0.11140138778927593,96.72286224060508,7.608757759394919,-0.30637212822142984,-1.8875699233480776,trough,-1.8875699233480776
2015,Mexico,110.7715,38.3,160.41752,100.48645,113.97339798060939,-3.201897980609388,-0.8338231256924227,35.32228172151797,2.9777182784820297,-1.4471430365332976,148.5092555315061,11.908264468493883,-1.5803504137134021,97.23185298073913,3.2545970192608706,-0.1310487003036577,-0.9461726509816147,,0.0
2016,Mexico,113.5879,41.5,182.07811,109.66116,116.39664766903363,-2.8087476690336217,-0.7314407813297005,36.348327834318575,5.1516721656814255,-2.503664149473796,155.19321469116625,26.884895308833762,-3.5679049232041975,97.74030281103333,11.920857188966664,-0.4800019270817065,-1.0954413451108862,,0.0
