year,country,rpp_value,cgdp_value,cr_value,spr_value,rpp_value_trend,rpp_value_cycle,rpp_value_cycle_normalized,cgdp_value_trend,cgdp_value_cycle,cgdp_value_cycle_normalized,cr_value_trend,cr_value_cycle,cr_value_cycle_normalized,spr_value_trend,spr_value_cycle,spr_value_cycle_normalized,pca_weighted_mean,turning_point,value
2022,Korea,119.7681,209.0,179.68923,107.25852,104.07355915278431,15.694540847215691,-1.0609259359187746,196.00006992765998,12.999930072340021,-1.3967876754692143,156.48083005807953,23.208399941920476,1.2364106317392078,118.8069077410485,-11.5483877410485,0.697673663540683,-0.8326772053461421,,0.0
2023,Korea,109.2947,206.5,177.13118,107.25852,103.98949065183162,5.30520934816839,-0.3586236926420884,198.6665241121837,7.833475887816292,-0.841673956344407,160.55114443965442,16.58003556034558,0.8832893388913684,120.67493584779182,-13.41641584779181,0.8105269935510803,-0.30005939610135557,,0.0
2007,Luxembourg,98.9683,334.4,92.817969,136.03126,83.46141080187232,15.50688919812768,1.0,335.0979660202519,-0.6979660202518971,1.0,86.7209976333462,6.096971366653804,1.0,90.66181834693721,45.36944165306279,1.0,1.0000000000000002,,0.0
2008,Luxembourg,99.1081,317.8,90.648559,62.856518,88.92878457349448,10.17931542650551,0.6564382640803659,339.57169865255787,-21.77169865255786,31.193063875373785,91.95720606325472,-1.3086470632547105,-0.21463887306607676,87.38057184665715,-24.524053846657146,-0.5405412311262504,0.7297441620723715,,0.0
2009,Luxembourg,97.6366,363.2,100.74454,94.078659,94.39619711233965,3.240402887660352,0.20896537314857463,344.0454295399488,19.15457046005116,-27.44341401195755,97.19342973559162,3.551110264408379,0.5824384027503368,84.0994387699812,9.979220230018797,0.21995466257507096,0.14220788790812003,,0.0
2010,Luxembourg,100.3852,331.3,97.472992,90.723684,99.86371263391933,0.5214873660806632,0.033629399128203494,348.5191025082629,-17.219102508262893,24.670402295585234,102.42968062116768,-4.956688621167672,-0.8129755452481396,80.81847123037888,9.90521276962113,0.2183234443431254,0.0929881620220504,,0.0
2011,Luxembourg,102.35,346.1,103.21944,63.896017,105.33140345475233,-2.981403454752339,-0.19226315585670897,352.9927092697646,-6.892709269764566,9.875422398467157,107.66597956856928,-4.446539568569278,-0.7293030098334985,77.53774628937025,-13.641729289370247,-0.3006810044894904,-0.1681088436252795,,0.0
2012,Luxembourg,103.6163,361.1,109.46583,61.352536,110.7993431950758,-7.183043195075811,-0.4632162584835584,357.46619848896194,3.6338015110380866,-5.206272806413471,112.9023350346613,-3.436505034661309,-0.5636413274722927,74.25736577150731,-12.904829771507309,-0.2844388050924169,-0.47467867515629286,,0.0
2013,Luxembourg,106.621,364.5,114.71877,65.002677,116.26759802161828,-9.646598021618288,-0.6220846681991531,361.9395015985899,2.5604984014100864,-3.6685144077443743,118.13874435995963,-3.4199743599596246,-0.5609300346504016,70.9773973970188,-5.9747203970188,-0.1316904105346304,-0.6293217085348919,,0.0
2014,Luxembourg,112.1168,382.2,126.43983,60.078749,121.7362161435002,-9.619416143500203,-0.6203317777405453,366.4125591158868,15.78744088411321,-22.61921128827374,123.37519629371751,3.0646337062824927,0.5026485318668067,67.697876624059,-7.619127624059004,-0.16793523011197678,-0.6730783216916574,,0.0
